195,120
206,125
208,160
204,181
202,200
5,211
8,221
211,227
213,230
229,233
241,232
255,230
272,227
288,221
308,216
312,196
298,196
280,198
268,203
261,212
257,219
253,226
252,228
51,230
250,231
247,236
195,120
205,131
206,166
201,195
199,204
196,221
194,235
191,249
187,270
183,286
177,311
173,332
170,347
168,360
165,379
0,401
160,416
157,436
156,447
195,120
204,129
200,166
195,188
213,0
197,222
203,232
209,240
221,245
229,248
238,251
247,256
250,258
251,259
1,0
261,263
269,268
270,279
253,280
251,270
255,263
245,251
235,264
237,269
241,272
248,273
252,272
254,258
241,273
248,278
255,277
270,0
249,260
243,278
257,276
258,263
248,257
257,0
233,257
227,257
220,254
215,250
211,240
211,233
195,120
195,137
179,146
65,151
163,152
160,160
164,168
168,171
172,173
178,175
188,178
194,180
203,184
205,185
206,185
209,186
215,186
218,186
224,189
230,191
232,190
236,183
216,180
219,188
226,190
235,184
234,175
225,168
217,166
214,153
226,150
232,163
219,171
207,133
225,124
231,135
226,144
220,147
208,143
222,130
226,141
48,0
214,130
230,131
236,144
217,145
221,130
195,120
204,127
193,142
174,147
162,151
158,154
158,167
168,174
173,175
185,175
188,177
194,183
194,195
203,205
215,189
211,159
190,140
188,156
192,165
194,168
197,175
199,177
213,183
217,168
208,164
200,167
198,170
199,176
205,181
212,164
197,165
195,176
216,175
206,163
199,181
220,173
205,159
203,175
220,165
200,168
195,179
188,183
182,182
177,179
175,176
174,173
183,161
186,160
189,160
189,160
190,160
199,167
196,178
191,181
181,177
180,176
176,162
194,160
197,169
194,174
187,178
178,176
176,175
171,174
195,120
202,130
183,160
172,173
166,184
164,206
168,219
171,239
173,249
177,270
180,280
182,291
5,301
188,312
191,322
192,329
193,343
59,0
196,368
198,379
198,386
197,401
195,410
195,416
194,425
193,439
193,451
194,463
195,475
195,487
195,495
193,514
190,519
195,120
201,130
184,159
176,170
170,180
167,196
169,212
174,228
180,245
184,256
190,272
192,279
195,292
202,308
204,319
220,329
253,327
254,341
251,357
248,368
0,0
243,391
240,404
238,412
236,421
232,434
230,444
228,450
223,466
220,476
217,487
216,493
217,500
218,509
217,520
217,527
216,537
214,546
213,558
213,563
212,574
195,607
173,629
175,639
179,648
182,655
184,662
184,669
185,679
184,688
183,696
182,704
180,713
176,724
195,120
196,140
182,156
168,172
160,186
158,202
160,214
166,231
170,242
177,260
179,269
181,284
182,290
184,299
187,314
189,325
190,333
192,350
193,361
193,373
194,382
195,393
195,401
196,412
196,419
197,431
197,440
193,450
0,0
176,482
0,0
182,503
183,512
183,524
181,536
179,543
177,555
0,566
173,580
172,590
1,601
170,612
168,619
165,627
162,637
160,644
2,0
157,656
156,659
155,663
154,666
154,669
153,670
153,671
153,672
7,0
